year,Never,A few times a year or less,A few times a month,A few times a week,Every day,low_95_Never,low_95_A few times a year or less,low_95_A few times a month,low_95_A few times a week,low_95_Every day,high_95_Never,high_95_A few times a year or less,high_95_A few times a month,high_95_A few times a week,high_95_Every day
2019,17.478100876018303,32.97769242854341,21.9775933778707,15.593780532285711,11.972832785281833,17.45021151615321,33.39817435244934,21.9548006443151,15.517819178263718,11.678994308818625,17.50360839070206,32.593121075878486,21.99843953528216,15.663254531061074,12.24157646707622
2020,10.352680520451695,16.673347996239563,21.089248199518337,25.96597098766781,25.918752296122616,10.085212115139633,16.604340384297053,20.964002090736656,26.184904434411237,26.161540975415416,10.598137224654485,16.73667652647307,21.20418699776595,25.76505498708559,25.69594426402091
2021,11.000459236288556,16.986263943880502,20.458440387792688,25.35217625778319,26.202660174254987,10.856075083037336,16.90623562753182,20.37662757420418,25.591543766368506,26.269517948858155,11.132891934410075,17.059667884836127,20.53348111352656,25.132622488960553,26.14133657826669
